iteration,id,x,y
0,0,0.501346,-3.27312
0,1,2.74922,1.13978
0,2,-0.769506,0.563115
0,3,1.85932,-0.843469
0,4,1.86333,1.03314
0,5,0.350964,0.425911
0,6,0.739023,-0.627069
0,7,-0.232432,-0.581823
0,8,1.32824,0.393881
0,9,2.44695,-0.490342
0,10,-0.0766634,-1.68434
0,11,-0.989551,2.94181
0,12,1.26963,0.248256
0,13,1.45127,0.624887
0,14,-2.88095,-1.32383
0,15,2.70626,-0.441586
0,16,1.83406,1.79169
0,17,0.0310587,0.648968
0,18,1.09066,-0.559605
0,19,1.20234,0.127853
0,20,0.906629,1.0411
0,21,2.46098,-1.10454
0,22,-1.81617,-1.35449
0,23,1.43744,0.107183
0,24,0.0222839,2.41446
0,25,1.12601,0.0553679
0,26,1.73212,0.374517
0,27,1.14022,0.643965
0,28,2.44759,0.293381
0,29,1.93459,-0.287341
1,0,0.434282,-1.64885
1,1,1.66312,0.74056
1,2,1.02766,0.379084
1,3,2.78952,-2.88423
1,4,-1.02484,-0.638753
1,5,1.77805,-0.0687284
1,6,0.860046,1.08308
1,7,1.66452,0.650332
1,8,1.96625,2.65679
1,9,-0.0379188,0.684581
1,10,0.0288607,0.758887
1,11,0.475568,-0.294686
1,12,0.40763,-1.11382
1,13,-1.19433,-0.739486
1,14,1.76169,1.71763
1,15,2.29017,-0.185534
1,16,0.777705,3.56584
1,17,0.789085,0.311715
1,18,0.0575953,-0.604242
1,19,-0.417614,0.848587
1,20,0.928954,-0.454276
1,21,3.68944,-2.75044
1,22,1.46707,1.62142
1,23,2.66976,0.250237
1,24,0.68986,-0.281607
1,25,-1.70745,-1.19366
1,26,2.48734,1.34204
1,27,-0.33863,2.93151
1,28,4.62861,0.765545
1,29,-0.294327,0.905367
2,0,0.35873,-0.587164
2,1,0.220016,0.551046
2,2,1.6495,0.392301
2,3,1.09711,-0.234851
2,4,-1.91887,-0.745098
2,5,-0.568217,1.07322
2,6,0.711501,1.85661
2,7,0.371957,0.473732
2,8,1.00515,0.0850957
2,9,-1.27739,1.27534
2,10,0.0816227,1.9805
2,11,0.616511,-0.51759
2,12,-0.0949962,-1.44071
2,13,-1.33024,0.0322267
2,14,3.44924,2.8877
2,15,0.473763,0.614214
2,16,0.570263,2.9638
2,17,-0.0443912,0.719203
2,18,-0.481162,0.427845
